Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
36472701,Tiny World,Rebecca Woodmass,"Woodmass, Rebecca",,"=""""","=""9781387317097""",3,4.00,Lulu,Paperback,58,2017,,2017/10/26,2017/10/24,,,read,"This, the debut published work of Rebecca Woodmass (to my knowledge, anyhow), demands to burrow itself, lie at your side as you wake and sleep, take in with you the joys and storms of a day's journey. It yields its best treasures then, and the most singular treasure that I took from it was Woodmass' singular voice. It remains consistent and engaging throughout the entirety of this collection, and - to my delight - it is firm in resisting affectation.<br/><br/>At the same time, my preferences in poetry lie with the paring of words, and ultimately the layout of the copy I have in my hands. Since its initial release on Lulu Press, Inc., I know Woodmass has created a second edition, one which i think is a bit shorter in dimensions, and with a different cover. I'm not sure in what ways the poems may differ - if indeed they do - but I can imagine the spacing and layout will differ slightly. I mention this particularly because I do think Woodmass' words intend to be savoured, sometimes in slight breaking of pages and on their own merits. The copy I have does stagger a bit in terms of spacing (most notable in ""A Return Home""), so I think my initial rating reflects that a bit here.<br/><br/>More so in this collection, the same redolent themes appear in different incarnations - perhaps to the point of excess. That may very well be the point, but it does nag at me briefly to see the same gesture (trees and roots as a comparative note towards one's self-growth and self-value; the value/reverse value of ""Triggers"") without a pause, or a new variation that allows to re-examine the conclusions in earlier works with a more pronounced light. Her writing, too, almost demands to both gulp down its content and to stay a breath's distance away, which might be more to do with how the material here is organized. Again, preference counts - you as the reader may find difference with me here, and that I think would be highly encouraged.<br/><br/>Regardless of all this errata I've typed here, I do think Rebecca Woodmass has cultivated a voice all her own - her Instagram presence, as well as her continued work in support of raising awareness, attest to that, and in triumphant strides of self-development. Coming soon, as she's teased on Instagram, is her second collection. I look forward, eagerly, to its arrival.",,,1,,,0,,,,,
6374049,Perfecting Sound Forever: An Aural History of Recorded Music,Greg Milner,"Milner, Greg",,"=""0571211658""","=""9780571211654""",0,4.16,"Farrar, Straus and Giroux",Hardcover,432,2009,2009,,2017/12/31,to-read,to-read (#501),to-read,,,,0,,,0,,,,,
31580121,High C: Selected Sound and Visual Poems 1965-1983,David uu,"uu, David",,"=""""","=""""",5,3.33,ubu editions,ebook,80,2013,,2017/12/31,2017/12/31,,,read,,,,1,,,0,,,,,
36169862,Good Spirits,Joey Donaldson,"Donaldson, Joey",Rachel Petrovicz,"=""""","=""""",3,3.00,,Paperback,100,2017,,2017/12/31,2017/12/31,,,read,,,,1,,,0,,,,,
91001,The Battlefield Where the Moon Says I Love You,Frank Stanford,"Stanford, Frank",,"=""0918786509""","=""9780918786500""",5,4.66,Lost Roads Publishers,Paperback,383,2000,1977,2017/12/31,2017/08/27,,,read,,,,1,,,0,,,,,
35748909,A Long Curving Scar Where the Heart Should Be,Quintan Ana Wikswo,"Wikswo, Quintan Ana",,"=""0998433985""","=""9780998433981""",0,4.36,Stalking Horse Press,Paperback,376,2017,,,2017/12/26,to-read,to-read (#500),to-read,,,,0,,,0,,,,,
34552743,The Iliac Crest,Cristina Rivera Garza,"Garza, Cristina Rivera",Sarah  Booker,"=""1936932067""","=""9781936932061""",0,3.65,Feminist Press,ebook,200,2017,2002,,2017/12/26,to-read,to-read (#499),to-read,,,,0,,,0,,,,,
93390,Akira Club,Katsuhiro Otomo,"Otomo, Katsuhiro",Kumar Sivasubramanian,"=""1593077416""","=""9781593077419""",4,4.40,Dark Horse,Hardcover,256,2007,1995,2017/12/25,2017/12/25,,,read,,,,1,,,0,,,,,
93375,"Akira, Vol. 6",Katsuhiro Otomo,"Otomo, Katsuhiro","Yoko Umezawa, Jo Duffy","=""1569715289""","=""9781569715284""",4,4.51,Dark Horse,Paperback,434,2002,1990,2017/12/25,2017/12/25,,,read,,,,1,,,0,,,,,
93374,"Akira, Vol. 4",Katsuhiro Otomo,"Otomo, Katsuhiro","Yoko Umezawa, Jo Duffy","=""1569715262""","=""9781569715260""",5,4.47,Dark Horse,Paperback,400,2001,1987,2017/12/24,2017/12/25,,,read,,,,1,,,0,,,,,
27311812,A Floating Chinaman: Fantasy and Failure Across the Pacific,Hua Hsu,"Hsu, Hua",,"=""0674967909""","=""9780674967908""",0,3.78,Harvard University Press,Hardcover,288,2016,,,2017/12/25,to-read,to-read (#498),to-read,,,,0,,,0,,,,,
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",0,4.27,PanMacmillan,Hardcover,600,2015,2015,,2017/12/25,to-read,to-read (#497),to-read,,,,0,,,0,,,,,
