Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
166195,Modern Operating Systems,Andrew S. Tanenbaum,"Tanenbaum, Andrew S.",Herbert Bos,"=""0130313580""","=""9780130313584""",0,4.12,Prentice Hall,Hardcover,976,2001,1992,2020/08/01,2020/12/04,"academic, nonfiction","academic (#11), nonfiction (#252)",read,,,,1,,,0,,,,,
6392569,Natural Language Processing with Python,Steven    Bird,"Bird, Steven","Ewan Klein, Edward Loper","=""0596516495""","=""9780596516499""",0,4.11,O'Reilly Media,Paperback,504,2009,2009,2020/04/01,2020/12/04,"academic, nonfiction","academic (#9), nonfiction (#250)",read,,,,1,,,0,,,,,
148009,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",Trevor Hastie,"Hastie, Trevor","Robert Tibshirani, Jerome Friedman","=""0387952845""","=""9780387952840""",0,4.40,Springer,Hardcover,552,2003,2001,,2020/12/20,"academic, to-read, nonfiction","academic (#14), to-read (#359), nonfiction (#254)",to-read,,,,1,,,0,,,,,
2742527,Mathematical Statistics with Applications,Dennis D. Wackerly,"Wackerly, Dennis D.","William Mendenhall, Richard L. Scheaffer","=""0495110817""","=""9780495110811""",4,3.72,Cengage Learning,Hardcover,912,2007,1995,2017/04/01,2020/12/04,"academic, nonfiction","academic (#12), nonfiction (#253)",read,,,,1,,,0,,,,,
19469989,Foundations of Statistical Natural Language Processing,Christopher Manning,"Manning, Christopher",Hinrich Schuetze,"=""""","=""""",0,4.30,The MIT Press,Kindle Edition,728,1999,2012,2020/04/01,2020/12/04,"academic, nonfiction","academic (#10), nonfiction (#251)",read,,,,1,,,0,,,,,
25707092,Cracking the Coding Interview: 189 Programming Questions and Solutions,Gayle Laakmann McDowell,"McDowell, Gayle Laakmann",,"=""0984782850""","=""9780984782857""",0,4.35,Careercup,Paperback,708,2015,2008,2020/08/01,2020/11/30,"academic, shelf, nonfiction","academic (#5), shelf (#20), nonfiction (#245)",read,,,,1,,,1,,,unspecified,,
908047,"Speech and Language Processing: An Introduction to Natural Language Processing, Computational Linguistics and Speech Recognition",Dan Jurafsky,"Jurafsky, Dan",James H. Martin,"=""0130950696""","=""9780130950697""",0,4.21,Prentice Hall,Hardcover,934,2000,2000,2020/04/01,2020/12/04,"academic, nonfiction","academic (#8), nonfiction (#249)",read,,,,1,,,0,,,,,
2608083,Introduction to Time Series Analysis and Forcasting,Douglas C. Montgomery,"Montgomery, Douglas C.",,"=""0471653977""","=""9780471653974""",0,4.06,Wiley,Hardcover,445,2008,2008,,2020/12/04,"academic, to-read, nonfiction","academic (#6), to-read (#358), nonfiction (#247)",to-read,,,,1,,,0,,,,,
696238,Proofs from THE BOOK,Martin Aigner,"Aigner, Martin",,"=""3540404600""","=""9783540404606""",0,4.41,Springer,Hardcover,240,2003,1998,,2020/12/04,"academic, to-read, nonfiction","academic (#13), to-read (#357), nonfiction (#246)",to-read,,,,1,,,0,,,,,
108986,Introduction to Algorithms,Thomas H. Cormen,"Cormen, Thomas H.","Charles E. Leiserson, Ronald L. Rivest, Clifford Stein","=""0262032937""","=""9780262032933""",4,4.33,MIT Press (MA),Hardcover,1180,2001,1989,2017/12/01,2020/12/04,"academic, nonfiction","academic (#7), nonfiction (#248)",read,,,,1,,,0,,,,,
